Name,Reel Url,Downloaded,Uploaded
Yochi,https://www.instagram.com/reel/DKdrd7vpfhk/?utm_source=ig_web_copy_link,True,
Viper,https://www.instagram.com/reel/DKbMI0oRPL_/?utm_source=ig_web_copy_link,True,
Boulder,https://www.instagram.com/reel/DKjg0vdNORk/?utm_source=ig_web_copy_link,True,
Test1,https://www.instagram.com/reel/DKjt1EQvfKK/?utm_source=ig_web_copy_link,True,
Test2,https://www.instagram.com/reel/DKeYUU7ySF_/?utm_source=ig_web_copy_link,True,
Test3,https://www.instagram.com/reel/DJR6dVMNx6-/?utm_source=ig_web_copy_link,True,
Test4,https://www.instagram.com/reel/DIlytttx61s/?utm_source=ig_web_copy_link,True,
nan,https://www.instagram.com/reel/DKQG6OtpIRr/?utm_source=ig_web_copy_link,True,
nan_1,https://www.instagram.com/reel/DKbveESTCnb/?utm_source=ig_web_copy_link,True,
nan_2,https://www.instagram.com/reel/DKcbphmoLWd/?utm_source=ig_web_copy_link,True,
nan_3,https://www.instagram.com/reel/DKhzHBdOQfM/?utm_source=ig_web_copy_link,True,
nan_4,https://www.instagram.com/reel/DKjiH-NzRdB/?utm_source=ig_web_copy_link,True,
n,https://www.instagram.com/reel/DJi4WBCtd11/?utm_source=ig_web_copy_link,True,
nan_8.mp4,https://www.instagram.com/reel/DKkbXtXTC2h/?utm_source=ig_web_copy_link,True,
nan_9,https://www.instagram.com/reel/DKkA2OxRnd4/?utm_source=ig_web_copy_link,True,
